Start Date,End Date,Data Product,Data Request,Data Brand,App Download,App Delete,App Deletion Rate,Unnamed: 8,App Signup,App Referral ID,MAU Appsflyer,MAU Flurry,WAU Firebase,DAU Appsflyer,WAU Flurry,Point Receiver,Contents Review,Contents Post,Contents Like,Contents Reply,Contents Video,Retention DAU/MAU,Stores,Approved Stores,Store Products,Note,Unnamed: 27,Unnamed: 28,Unnamed: 29
2019-12-02,2019-12-08,0,,0,93.0,,,,67,,996.0,,351.0,,,0,91,0,0,0,0,,,,,,,,
2019-12-09,2019-12-15,84,,0,70.0,,,,50,,917.0,,253.0,,,0,4,0,0,0,0,,,,,,,0.04395604396,#DIV/0!
2019-12-16,2019-12-22,185,,0,121.0,,,,24,,843.0,,311.0,,,0,78,0,0,0,0,,,,,Event OHUI Giáng Sinh,,19.5,
2019-12-23,2019-12-29,102,,0,65.0,,,,35,,752.0,,255.0,,,0,274,0,0,0,0,,,,,"1. Event O Hui Giáng Sinh
2. Event O Hui BSTReviewty",,3.512820513,
2019-12-30,2020-01-05,30,,0,50.0,,,,26,,705.0,,231.0,,,0,31,0,0,0,0,,,,,Event Lavien,,0.1131386861,
2020-01-06,2020-01-12,76,,0,43.0,,,,35,,695.0,,268.0,,,0,99,0,0,0,0,,,,,"1. Event Ohui
2. Event comment brand",,3.193548387,
2020-01-13,2020-01-19,161,,0,67.0,,,,50,,749.0,,293.0,,,0,99,47,401,159,0,,,,,"1. Feed release
2. Event Avajar",,1.0,
2020-01-20,2020-01-26,6,,0,38.0,,,,30,,717.0,,230.0,,,0,17,66,1280,420,0,,,,,"1. BTS mask
2. Tonymoly
3. Seeding app",,0.1717171717,
2020-01-27,2020-02-02,6,,0,79.0,,,,55,,914.0,,384.0,,,0,23,68,1164,437,0,,,,,"1. BTS mask
2. Tonymoly
3. Seeding app",,1.352941176,
2020-02-03,2020-02-09,33,,0,514.0,,,,351,,1016.0,,505.0,,,0,70,77,1271,652,0,,,,,"1. Event About Me Mask
2. Maily advertise
3. Seeding app + fb",,3.043478261,
2020-02-10,2020-02-16,161,,4,209.0,,,,157,,1343.0,,630.0,,,0,159,80,4346,1686,0,,,,,"1. Event About Me Mask
2. Event Fraijour (feed)
3. Seeding
4. Event Black Rouge
5. Maily advertise (?)",,2.271428571,
2020-02-17,2020-02-23,81,,1,224.0,,,,154,,1481.0,,596.0,,,0,44,86,2191,1031,0,14%,,,,,,0.2767295597,
2020-02-24,2020-03-01,215,,1,236.0,,,,180,,1740.0,,703.0,,,0,23,83,1613,986,0,14%,,,,Event Album BTS,,0.5227272727,
2020-03-02,2020-03-08,91,,5,440.0,,,,366,,2062.0,,833.0,,,0,89,114,2166,1992,0,18%,,,,Event Album BTS,,3.869565217,
2020-03-09,2020-03-15,101,,1,1083.0,,,,1034,,3085.0,,1975.0,,,0,371,179,3388,3235,0,16%,,,,"1. Event Bút lăn mụn Anti-Trouble Pen (Biolee)
2. Event feed: Set son Heart Percent",,4.168539326,
2020-03-16,2020-03-22,128,,1,1351.0,,,,1238,,4392.0,,2642.0,,,0,801,219,6125,6894,0,19%,,,,"1. Event Toner Biolee
2. Event Set trị mụn Biolee
3. Maily share post on Mailystyle.com page",,2.15902965,
2020-03-23,2020-03-29,43,,0,758.0,,,,709,,5286.0,,2338.0,,,0,831,195,5065,5082,0,18%,,,,"1. Event Mặt nạ CQMONG
2. Cuối tuần: Event feed (son Romand)",,1.037453184,
2020-03-30,2020-04-05,81,,1,1652.0,,,,1195,,6548.0,,2965.0,,,0,1024,236,7499,9455,0,20%,,,,"1. Event son Romand
(Feed + Review)",,1.232250301,
2020-04-06,2020-04-12,1,,0,2352.0,,,,1805,,8163.0,,4183.0,,,0,959,345,4687,6732,0,,,,,"1. Facebook Marketing
2. Event son Chicor
3. Event feed Cushion Chicor",,0.9365234375,
2020-04-13,2020-04-19,0,,0,2313.0,,,,1760,,9493.0,,4934.0,,,0,644,361,3228,5523,0,19%,,,,"1. Event sữa rửa mặt Chicor 
2. Event son Self Beauty 
3. Event sale",,0.6715328467,
2020-04-20,2020-04-26,20,,1,2165.0,,,,1716,,10784.0,,5504.0,,,0,959,427,4214,6300,0,20%,,,,"1. Review phán má I'M MEME
2. Feed Dầu tẩy trang Chicor 
3. Review Mặt nạ lột MedB
",,1.489130435,
2020-04-27,2020-05-03,5,,0,2152.0,,,,1713,,12241.0,,5188.0,,,0,660,428,4131,6324,0,19%,,,,"1. Review Phấn phủ Javin 
2. Feed Tinh chất lót Self Beauty 
3. Order sữa tắm trắng lớn",,0.6882168926,
2020-05-04,2020-05-10,4,,1,3803.0,,,,3658,,12600.0,,7100.0,,,0,654,453,3423,5444,0,,,,,"1. Order sữa tắm trắng bé 
2. Review son thỏi Self Beauty 
3. Feed foundation Chicor
4. Đào Bá Lộc",,0.9909090909,
2020-05-11,2020-05-17,13,,0,4404.0,,,,3536,,15700.0,,8200.0,,,0,989,452,2009,2958,0,17%,,,,"1. Review phấn nước Javin 
2. Review kem tay MedB
3. Review mặt nạ Lime 
4. Feed bộ mini kit Isoi",,1.512232416,
2020-05-18,2020-05-24,19,,4,2660.0,,,,2131,,16100.0,,7600.0,,,0,1162,389,2398,3370,0,16%,,,,"1. Review son I'M MEME
2. Review tdc MedB
3. Feed kem chống nắng Javin",,1.174924166,
2020-05-25,2020-05-31,11,,4,2268.0,,,,1743,,17300.0,,6800.0,,,0,811,346,1503,2097,0,18%,,,,"1. Feed Phấn phủ Javin 
2. Review son Glossy-tint Self Beauty 
3. Review son Lime 
4. Order VB Tone up cream
",,0.6979345955,
2020-06-01,2020-06-07,129,14.0,4,2333.0,,,,1868,,17300.0,,6900.0,,,0,597,335,1533,2187,0,18%,,,,"1. Feed: Toning pad
2. Review son Glossy-tint Self Beauty 
3. Review tẩy da chết Amplen Pumpkin",,0.7361282367,
2020-06-08,2020-06-14,257,12.0,5,1747.0,,,,1432,,16200.0,,6700.0,,,0,750,293,1194,1982,0,14%,,,,"1. Event feed: Amplen Ceramide Cream
2. Event review: VC Shot Ampoule",,1.256281407,
2020-06-15,2020-06-21,142,39.0,7,6266.0,,,,4813,,19100.0,,9800.0,,,0,1290,361,1490,2452,0,18%,,,,"1. Event feed: Amplene Hyaluron Ampoule
2. Event review: Peptide Shot Ampoule 
3. Youtuber quảng cáo",,1.72,
2020-06-22,2020-06-28,175,50.0,3,2679.0,,,,2106,,19500.0,,8600.0,,,0,1060,336,1724,2120,0,17%,,,,"1. Event feed: Miếng pad của Cica-go (ISOI)
2. Event review: Sữa rửa mặt Ample:n",,0.8217054264,
2020-06-29,2020-07-05,70,122.0,6,4310.0,,,,3385,7279.0,21000.0,,9800.0,,,0,1406,418,2440,2748,0,22%,,,,"1. Event feed: Toning Pad
2. Event review: Tẩy trang Javin
3. Youtuber quảng cáo",,1.326415094,
2020-07-06,2020-07-12,111,132.0,25,3833.0,,,,3237,,22700.0,,10500.0,,,0,1187,504,3968,3533,0,21%,,,,"1. Event feed: Mặt nạ cica SOS (isoi)
2. Event review: Tinh chất cica Javin",,0.8442389758,
2020-07-13,2020-07-19,159,116.0,12,3055.0,,,,2548,,22700.0,,10100.0,,,0,989,578,4698,4542,0,21%,,,,"1. Event feed: Kem dưỡng ISOI Pore Tightening
2. Event review: IUNIK
",,0.8331929233,
2020-07-20,2020-07-26,134,133.0,7,3499.0,,,,2559,,23900.0,,10300.0,,,0,1464,563,4154,3836,0,21%,,,,"1. Event Feed: Isoi Blemish Care Serum II
2. Event review: Phấn nước Javin De Seoul",,1.480283114,
2020-07-27,2020-08-02,148,198.0,7,4736.0,,,,4303,,25800.0,,12800.0,,,0,2593,706,5251,5479,0,19%,,,,"1. Event feed: Whitening Laser Spot
2. Event review: Son Javin 
3. Event review: Tẩy trang mắt môi Javin",,1.771174863,
2020-08-03,2020-08-09,116,201.0,25,3445.0,,,,2891,,27200.0,,12600.0,,,0,2458,706,4649,5896,0,20%,,,,"1. Event feed: SOS Mask
2. Event review: Kcn Klairs Soft Airy UV Essence",,0.9479367528,
2020-08-10,2020-08-16,250,187.0,37,3417.0,,,,2917,,27800.0,,13100.0,,,0,2697,786,6691,6502,0,20%,,,,"1. Event review kem dưỡng Javin De Seoul Young & Rich 
2. Event review feed: tinh chất Cica của isoi
3. Event review: Rice Toner 
",,1.097233523,
2020-08-17,2020-08-23,127,230.0,11,3681.0,,,,3113,,29000.0,,13000.0,,,0,2131,853,6991,5881,0,18%,,,,"1. Event: Serum trị nám Isoi 
2. Event: Son Items By",,0.7901371895,
2020-08-24,2020-08-30,34,210.0,7,3929.0,,,,3243,,29000.0,,12700.0,,,0,1979,815,4749,6201,0,19%,,,,"1. Event xịt khoáng isoi
",,0.928671985,
2020-08-31,2020-09-06,78,174.0,16,3098.0,,,,2618,,30000.0,,13100.0,,,0,1841,726,3410,4512,0,18%,,,,"1. Event feed: mặt nạ lột 9w
2. Event: I'm from Rice Toner",,0.930267812,
2020-09-07,2020-09-13,152,163.0,22,2569.0,,,,2122,,29000.0,,12900.0,,,0,4686,753,3358,5612,0,19%,,,,"1. Event feed: ISOI Bulgarian Whitening Laser Spot
2. Event review: By Wishtrend Mandelic Acid 5% 
3*. Event shopping (by points): 3 events",,2.545355785,
2020-09-14,2020-09-20,361,178.0,29,3340.0,,,,2684,,29000.0,,13000.0,,,0,4923,707,4140,7099,0,20%,,,,"1. Event feed: Biolee 
2. Event review: By whistrend",,1.050576184,
2020-09-21,2020-09-27,348,183.0,20,3910.0,,,,2996,,30000.0,,13700.0,,,0,2853,783,5575,10394,0,20%,,,,"1. Event isoi Acni Dr. Speedy Spot
2. Event Blemish Care Tonic Essece
3. Event xịt khoáng isoi",,0.5795246801,
2020-09-28,2020-10-04,527,144.0,33,2983.0,,,,2380,,30000.0,,13000.0,,,0,2454,733,3457,10462,0,22%,,,,"1. Event Kem BR Blemish Care Spot
2. By wishtrend Green Tea & Enzyme Powder ",,0.8601472135,
2020-10-05,2020-10-11,229,165.0,17,2208.0,,,,2095,,30000.0,,13600.0,,,0,3038,832,3724,12481,0,21%,,,,"1. Event ISOI Cica Ampoule
2. Event ISOI Pore Tightening Tonic Essence
3. Event coupon (3)",,1.23797881,
2020-10-12,2020-10-18,175,129.0,36,2825.0,,,,2149,,30000.0,,13300.0,,,0,3101,995,3667,13386,0,23%,,,,,,1.020737327,
2020-10-19,2020-10-25,206,162.0,18,2748.0,,,,2179,,30000.0,,13800.0,,,0,2404,1066,3836,14712,0,22%,,,,1. Event,,0.7752337955,
2020-10-26,2020-11-01,319,136.0,19,2817.0,,,,2851,1306.0,30000.0,,13900.0,,,0,3070,1264,5502,22111,0,18%,,,,"1. Event
2. Referral ID",,1.27703827,
2020-11-02,2020-11-08,209,113.0,15,2426.0,,,,2492,1152.0,30000.0,,13400.0,,,0,2777,1157,3869,21104,0,18%,,,,"1. Event
2. Referral ID",,0.9045602606,
2020-11-09,2020-11-15,152,103.0,13,2780.0,,,,2174,619.0,31000.0,,14300.0,,,0,2242,1127,3799,21017,0,19%,,,,"1. Event
2. Referral ID
3. Google Ads
4. Search Ads
5. Video Ads",,0.8073460569,
2020-11-16,2020-11-22,209,126.0,11,4106.0,,,,2618,441.0,32000.0,,14100.0,,,0,1769,1073,3830,21707,0,20%,,,,"1. Event 
2. Referral ID 
3. Google Ads 
4. Search Ads 
5. Video Ads",,0.7890276539,
2020-11-23,2020-11-29,171,165.0,18,3063.0,,,,2943,489.0,32000.0,,15200.0,,,0,3051,1585,6652,26294,0,22%,,,,"1. Event
2. Referral id
3. Seeding (13)",,1.724703222,
2020-11-30,2020-12-06,105,176.0,12,5218.0,,,,3580,310.0,35000.0,,17200.0,,,12353,3594,1864,4939,24846,0,25%,,,,"1. Event 
2. Seeding (33)
",,1.177974435,
2020-12-07,2020-12-13,110,190.0,15,10357.0,,,,5214,106.0,38000.0,,19200.0,,,14905,3123,1866,5417,25098,0,21%,,,,"1. Seeding (30)
2. Give Away 
3. Instagram Key4.pretty: https://www.instagram.com/p/CIvVGMwFDHY/?igshid=1vs81mmxhd2ek",,0.8689482471,
2020-12-14,2020-12-20,87,284.0,11,12893.0,,,,8181,134.0,43000.0,,22800.0,,,18562,4277,2082,6019,27255,0,18%,,,,"1. Seeding (35)
2. KOLs",,1.369516491,
2020-12-21,2020-12-27,55,327.0,7,12344.0,,,,8150,97.0,51000.0,,27000.0,,,20688,3482,2654,6750,31041,0,23%,,,,"1. Seeding (35)
2. Kols
3. Livestream (mailystyle 광고)",,0.8141220482,
2020-12-28,2021-01-03,64,309.0,17,13651.0,,,,8119,79.0,56705.0,0.0,27231.0,,0.0,27900,2894,2652,6141,30889,0,22%,0.0,0.0,0.0,0,,0.8311315336,
2021-01-04,2021-01-10,101,339.0,30,20888.0,,,,13611,142.0,69000.0,,38000.0,,,29881,4646,3572,8613,35608,0,17%,,,,"1. Seeding (25)
2. Kols",,1.605390463,
2021-01-11,2021-01-17,84,262.0,22,15551.0,,,,9960,79.0,76000.0,,37000.0,,,28549,3833,3322,8961,34230,0,17%,,,,"1. Seeding (25)
2. Kols",,0.8250107619,
2021-01-18,2021-01-24,136,233.0,26,11468.0,,,,7350,42.0,78000.0,,35000.0,,,26358,3765,3119,8111,35108,0,14%,,,,"1. Seeding (25)
2. Kols",,0.9822593269,
2021-01-25,2021-01-31,151,195.0,32,10465.0,,,,6705,28.0,81000.0,,34000.0,,,25547,3133,2916,6727,32329,0,15%,,,,"1. Seeding (25) 
2. Kols",,0.8321381142,
2021-02-01,2021-02-07,32,221.0,5,12148.0,,,,6984,49.0,78000.0,,34000.0,,,25497,2356,2750,5928,30744,0,22%,,,,"1. Seeding (25) 
2. Kols",,0.7519948931,
2021-02-08,2021-02-14,0,152.0,0,11717.0,,,,7631,72.0,77000.0,,30000.0,,,23326,2035,2482,5455,26094,0,22%,,,,"1. Seeding (25) 
2. Kols",,0.8637521222,
2021-02-15,2021-02-21,1,288.0,0,14570.0,,,,10039,77.0,84000.0,,43000.0,,,33305,2528,4550,6520,33957,0,17%,,,,"1. Seeding (25) 
2. Kols",,1.242260442,
2021-02-22,2021-02-28,1,318.0,0,15428.0,,,,10653,70.0,91000.0,,49000.0,,,35891,3444,4277,6049,35242,0,17%,,,,"1. Seeding (25) 
2. Kols",,1.362341772,
